Adjusted Rand Index Baseline Score of set1.csv: 0.2422
Adjusted Rand Index Baseline Score of set2.csv: 0.3335
Agglomerative Parameters - n_clusters: 2, Linkage: ward, File: set1.csv, ARI: 0.1261
Agglomerative Parameters - n_clusters: 10, Linkage: ward, File: set1.csv, ARI: 0.1704
Agglomerative Parameters - n_clusters: 10, Linkage: complete, File: set1.csv, ARI: 0.1016
Agglomerative Parameters - n_clusters: 10, Linkage: average, File: set1.csv, ARI: 0.1553
Agglomerative Parameters - n_clusters: 10, Linkage: single, File: set1.csv, ARI: 0.0543
Agglomerative Parameters - n_clusters: 11, Linkage: ward, File: set1.csv, ARI: 0.1704
Agglomerative Parameters - n_clusters: 11, Linkage: complete, File: set1.csv, ARI: 0.1014
Agglomerative Parameters - n_clusters: 11, Linkage: average, File: set1.csv, ARI: 0.1616
Agglomerative Parameters - n_clusters: 11, Linkage: single, File: set1.csv, ARI: 0.0543
Agglomerative Parameters - n_clusters: 12, Linkage: ward, File: set1.csv, ARI: 0.1919
Agglomerative Parameters - n_clusters: 12, Linkage: complete, File: set1.csv, ARI: 0.1030
Agglomerative Parameters - n_clusters: 12, Linkage: average, File: set1.csv, ARI: 0.1638
Agglomerative Parameters - n_clusters: 12, Linkage: single, File: set1.csv, ARI: 0.0522
Agglomerative Parameters - n_clusters: 13, Linkage: ward, File: set1.csv, ARI: 0.1943
Agglomerative Parameters - n_clusters: 13, Linkage: complete, File: set1.csv, ARI: 0.1206
Agglomerative Parameters - n_clusters: 13, Linkage: average, File: set1.csv, ARI: 0.1689
Agglomerative Parameters - n_clusters: 13, Linkage: single, File: set1.csv, ARI: 0.0522
Agglomerative Parameters - n_clusters: 14, Linkage: ward, File: set1.csv, ARI: 0.2758
Agglomerative Parameters - n_clusters: 14, Linkage: complete, File: set1.csv, ARI: 0.1206
Agglomerative Parameters - n_clusters: 14, Linkage: average, File: set1.csv, ARI: 0.1693
Agglomerative Parameters - n_clusters: 14, Linkage: single, File: set1.csv, ARI: 0.0523
Agglomerative Parameters - n_clusters: 15, Linkage: ward, File: set1.csv, ARI: 0.2802
Agglomerative Parameters - n_clusters: 15, Linkage: complete, File: set1.csv, ARI: 0.1203
Agglomerative Parameters - n_clusters: 15, Linkage: average, File: set1.csv, ARI: 0.1694
Agglomerative Parameters - n_clusters: 15, Linkage: single, File: set1.csv, ARI: 0.0522
Agglomerative Parameters - n_clusters: 16, Linkage: ward, File: set1.csv, ARI: 0.2800
Agglomerative Parameters - n_clusters: 16, Linkage: complete, File: set1.csv, ARI: 0.1444
Agglomerative Parameters - n_clusters: 16, Linkage: average, File: set1.csv, ARI: 0.1701
Agglomerative Parameters - n_clusters: 16, Linkage: single, File: set1.csv, ARI: 0.0603
Agglomerative Parameters - n_clusters: 17, Linkage: ward, File: set1.csv, ARI: 0.2820
Agglomerative Parameters - n_clusters: 17, Linkage: complete, File: set1.csv, ARI: 0.1452
Agglomerative Parameters - n_clusters: 17, Linkage: average, File: set1.csv, ARI: 0.1702
Agglomerative Parameters - n_clusters: 17, Linkage: single, File: set1.csv, ARI: 0.1442
Agglomerative Parameters - n_clusters: 18, Linkage: ward, File: set1.csv, ARI: 0.2806
Agglomerative Parameters - n_clusters: 18, Linkage: complete, File: set1.csv, ARI: 0.1452
Agglomerative Parameters - n_clusters: 18, Linkage: average, File: set1.csv, ARI: 0.1700
Agglomerative Parameters - n_clusters: 18, Linkage: single, File: set1.csv, ARI: 0.1449
Agglomerative Parameters - n_clusters: 19, Linkage: ward, File: set1.csv, ARI: 0.2816
Agglomerative Parameters - n_clusters: 19, Linkage: complete, File: set1.csv, ARI: 0.1633
Agglomerative Parameters - n_clusters: 19, Linkage: average, File: set1.csv, ARI: 0.1703
Agglomerative Parameters - n_clusters: 19, Linkage: single, File: set1.csv, ARI: 0.1219
Agglomerative Parameters - n_clusters: 20, Linkage: ward, File: set1.csv, ARI: 0.2737
Agglomerative Parameters - n_clusters: 20, Linkage: complete, File: set1.csv, ARI: 0.1639
Agglomerative Parameters - n_clusters: 20, Linkage: average, File: set1.csv, ARI: 0.1703
Agglomerative Parameters - n_clusters: 20, Linkage: single, File: set1.csv, ARI: 0.1219
Agglomerative Parameters - n_clusters: 21, Linkage: ward, File: set1.csv, ARI: 0.2742
Agglomerative Parameters - n_clusters: 21, Linkage: complete, File: set1.csv, ARI: 0.1739
Agglomerative Parameters - n_clusters: 21, Linkage: average, File: set1.csv, ARI: 0.1730
Agglomerative Parameters - n_clusters: 21, Linkage: single, File: set1.csv, ARI: 0.1219
Agglomerative Parameters - n_clusters: 22, Linkage: ward, File: set1.csv, ARI: 0.2541
Agglomerative Parameters - n_clusters: 22, Linkage: complete, File: set1.csv, ARI: 0.1741
Agglomerative Parameters - n_clusters: 22, Linkage: average, File: set1.csv, ARI: 0.1670
Agglomerative Parameters - n_clusters: 22, Linkage: single, File: set1.csv, ARI: 0.1219
Agglomerative Parameters - n_clusters: 23, Linkage: ward, File: set1.csv, ARI: 0.2391
Agglomerative Parameters - n_clusters: 23, Linkage: complete, File: set1.csv, ARI: 0.1744
Agglomerative Parameters - n_clusters: 23, Linkage: average, File: set1.csv, ARI: 0.1670
Agglomerative Parameters - n_clusters: 23, Linkage: single, File: set1.csv, ARI: 0.1219
Agglomerative Parameters - n_clusters: 24, Linkage: ward, File: set1.csv, ARI: 0.2354
Agglomerative Parameters - n_clusters: 24, Linkage: complete, File: set1.csv, ARI: 0.1855
Agglomerative Parameters - n_clusters: 24, Linkage: average, File: set1.csv, ARI: 0.1660
Agglomerative Parameters - n_clusters: 24, Linkage: single, File: set1.csv, ARI: 0.1219
Agglomerative Parameters - n_clusters: 25, Linkage: ward, File: set1.csv, ARI: 0.2365
Agglomerative Parameters - n_clusters: 25, Linkage: complete, File: set1.csv, ARI: 0.1858
Agglomerative Parameters - n_clusters: 25, Linkage: average, File: set1.csv, ARI: 0.1660
Agglomerative Parameters - n_clusters: 25, Linkage: single, File: set1.csv, ARI: 0.1219
Agglomerative Parameters - n_clusters: 26, Linkage: ward, File: set1.csv, ARI: 0.2322
Agglomerative Parameters - n_clusters: 26, Linkage: complete, File: set1.csv, ARI: 0.1860
Agglomerative Parameters - n_clusters: 26, Linkage: average, File: set1.csv, ARI: 0.1660
Agglomerative Parameters - n_clusters: 26, Linkage: single, File: set1.csv, ARI: 0.1350
Agglomerative Parameters - n_clusters: 27, Linkage: ward, File: set1.csv, ARI: 0.2336
Agglomerative Parameters - n_clusters: 27, Linkage: complete, File: set1.csv, ARI: 0.1876
Agglomerative Parameters - n_clusters: 27, Linkage: average, File: set1.csv, ARI: 0.1660
Agglomerative Parameters - n_clusters: 27, Linkage: single, File: set1.csv, ARI: 0.1350
Agglomerative Parameters - n_clusters: 28, Linkage: ward, File: set1.csv, ARI: 0.2330
Agglomerative Parameters - n_clusters: 28, Linkage: complete, File: set1.csv, ARI: 0.1879
Agglomerative Parameters - n_clusters: 28, Linkage: average, File: set1.csv, ARI: 0.1659
Agglomerative Parameters - n_clusters: 28, Linkage: single, File: set1.csv, ARI: 0.1350
Agglomerative Parameters - n_clusters: 29, Linkage: ward, File: set1.csv, ARI: 0.2171
Agglomerative Parameters - n_clusters: 29, Linkage: complete, File: set1.csv, ARI: 0.1880
Agglomerative Parameters - n_clusters: 29, Linkage: average, File: set1.csv, ARI: 0.1594
Agglomerative Parameters - n_clusters: 29, Linkage: single, File: set1.csv, ARI: 0.1349
Agglomerative Parameters - n_clusters: 30, Linkage: ward, File: set1.csv, ARI: 0.2167
Agglomerative Parameters - n_clusters: 30, Linkage: complete, File: set1.csv, ARI: 0.1881
Agglomerative Parameters - n_clusters: 30, Linkage: average, File: set1.csv, ARI: 0.1593
Agglomerative Parameters - n_clusters: 30, Linkage: single, File: set1.csv, ARI: 0.1349
Agglomerative Parameters - n_clusters: 31, Linkage: ward, File: set1.csv, ARI: 0.2192
Agglomerative Parameters - n_clusters: 31, Linkage: complete, File: set1.csv, ARI: 0.1880
Agglomerative Parameters - n_clusters: 31, Linkage: average, File: set1.csv, ARI: 0.1596
Agglomerative Parameters - n_clusters: 31, Linkage: single, File: set1.csv, ARI: 0.1351
Agglomerative Parameters - n_clusters: 32, Linkage: ward, File: set1.csv, ARI: 0.2129
Agglomerative Parameters - n_clusters: 32, Linkage: complete, File: set1.csv, ARI: 0.1895
Agglomerative Parameters - n_clusters: 32, Linkage: average, File: set1.csv, ARI: 0.1597
Agglomerative Parameters - n_clusters: 32, Linkage: single, File: set1.csv, ARI: 0.1351
Agglomerative Parameters - n_clusters: 33, Linkage: ward, File: set1.csv, ARI: 0.2142
Agglomerative Parameters - n_clusters: 33, Linkage: complete, File: set1.csv, ARI: 0.1895
Agglomerative Parameters - n_clusters: 33, Linkage: average, File: set1.csv, ARI: 0.1625
Agglomerative Parameters - n_clusters: 33, Linkage: single, File: set1.csv, ARI: 0.1351
Agglomerative Parameters - n_clusters: 34, Linkage: ward, File: set1.csv, ARI: 0.2159
Agglomerative Parameters - n_clusters: 34, Linkage: complete, File: set1.csv, ARI: 0.1906
Agglomerative Parameters - n_clusters: 34, Linkage: average, File: set1.csv, ARI: 0.1627
Agglomerative Parameters - n_clusters: 34, Linkage: single, File: set1.csv, ARI: 0.1351
Agglomerative Parameters - n_clusters: 35, Linkage: ward, File: set1.csv, ARI: 0.2160
Agglomerative Parameters - n_clusters: 35, Linkage: complete, File: set1.csv, ARI: 0.1840
Agglomerative Parameters - n_clusters: 35, Linkage: average, File: set1.csv, ARI: 0.1638
Agglomerative Parameters - n_clusters: 35, Linkage: single, File: set1.csv, ARI: 0.1351
Agglomerative Parameters - n_clusters: 36, Linkage: ward, File: set1.csv, ARI: 0.2142
Agglomerative Parameters - n_clusters: 36, Linkage: complete, File: set1.csv, ARI: 0.1826
Agglomerative Parameters - n_clusters: 36, Linkage: average, File: set1.csv, ARI: 0.1617
Agglomerative Parameters - n_clusters: 36, Linkage: single, File: set1.csv, ARI: 0.1352
Agglomerative Parameters - n_clusters: 37, Linkage: ward, File: set1.csv, ARI: 0.2034
Agglomerative Parameters - n_clusters: 37, Linkage: complete, File: set1.csv, ARI: 0.1821
Agglomerative Parameters - n_clusters: 37, Linkage: average, File: set1.csv, ARI: 0.1628
Agglomerative Parameters - n_clusters: 37, Linkage: single, File: set1.csv, ARI: 0.1351
Agglomerative Parameters - n_clusters: 38, Linkage: ward, File: set1.csv, ARI: 0.2018
Agglomerative Parameters - n_clusters: 38, Linkage: complete, File: set1.csv, ARI: 0.1830
Agglomerative Parameters - n_clusters: 38, Linkage: average, File: set1.csv, ARI: 0.1631
Agglomerative Parameters - n_clusters: 38, Linkage: single, File: set1.csv, ARI: 0.1352
Agglomerative Parameters - n_clusters: 39, Linkage: ward, File: set1.csv, ARI: 0.2014
Agglomerative Parameters - n_clusters: 39, Linkage: complete, File: set1.csv, ARI: 0.1829
Agglomerative Parameters - n_clusters: 39, Linkage: average, File: set1.csv, ARI: 0.1631
Agglomerative Parameters - n_clusters: 39, Linkage: single, File: set1.csv, ARI: 0.1352
Agglomerative Parameters - n_clusters: 40, Linkage: ward, File: set1.csv, ARI: 0.2016
Agglomerative Parameters - n_clusters: 40, Linkage: complete, File: set1.csv, ARI: 0.1780
Agglomerative Parameters - n_clusters: 40, Linkage: average, File: set1.csv, ARI: 0.1627
Agglomerative Parameters - n_clusters: 40, Linkage: single, File: set1.csv, ARI: 0.1352
Agglomerative Parameters - n_clusters: 41, Linkage: ward, File: set1.csv, ARI: 0.2016
Agglomerative Parameters - n_clusters: 41, Linkage: complete, File: set1.csv, ARI: 0.1772
Agglomerative Parameters - n_clusters: 41, Linkage: average, File: set1.csv, ARI: 0.1625
Agglomerative Parameters - n_clusters: 41, Linkage: single, File: set1.csv, ARI: 0.1655
Agglomerative Parameters - n_clusters: 42, Linkage: ward, File: set1.csv, ARI: 0.2011
Agglomerative Parameters - n_clusters: 42, Linkage: complete, File: set1.csv, ARI: 0.1773
Agglomerative Parameters - n_clusters: 42, Linkage: average, File: set1.csv, ARI: 0.1625
Agglomerative Parameters - n_clusters: 42, Linkage: single, File: set1.csv, ARI: 0.1655
Agglomerative Parameters - n_clusters: 43, Linkage: ward, File: set1.csv, ARI: 0.1978
Agglomerative Parameters - n_clusters: 43, Linkage: complete, File: set1.csv, ARI: 0.1772
Agglomerative Parameters - n_clusters: 43, Linkage: average, File: set1.csv, ARI: 0.1625
Agglomerative Parameters - n_clusters: 43, Linkage: single, File: set1.csv, ARI: 0.1655
Agglomerative Parameters - n_clusters: 44, Linkage: ward, File: set1.csv, ARI: 0.1939
Agglomerative Parameters - n_clusters: 44, Linkage: complete, File: set1.csv, ARI: 0.1772
Agglomerative Parameters - n_clusters: 44, Linkage: average, File: set1.csv, ARI: 0.1625
Agglomerative Parameters - n_clusters: 44, Linkage: single, File: set1.csv, ARI: 0.1654
Agglomerative Parameters - n_clusters: 45, Linkage: ward, File: set1.csv, ARI: 0.1926
Agglomerative Parameters - n_clusters: 45, Linkage: complete, File: set1.csv, ARI: 0.1775
Agglomerative Parameters - n_clusters: 45, Linkage: average, File: set1.csv, ARI: 0.1623
Agglomerative Parameters - n_clusters: 45, Linkage: single, File: set1.csv, ARI: 0.1654
Agglomerative Parameters - n_clusters: 46, Linkage: ward, File: set1.csv, ARI: 0.1927
Agglomerative Parameters - n_clusters: 46, Linkage: complete, File: set1.csv, ARI: 0.1765
Agglomerative Parameters - n_clusters: 46, Linkage: average, File: set1.csv, ARI: 0.1835
Agglomerative Parameters - n_clusters: 46, Linkage: single, File: set1.csv, ARI: 0.1654
Agglomerative Parameters - n_clusters: 47, Linkage: ward, File: set1.csv, ARI: 0.1916
Agglomerative Parameters - n_clusters: 47, Linkage: complete, File: set1.csv, ARI: 0.1772
Agglomerative Parameters - n_clusters: 47, Linkage: average, File: set1.csv, ARI: 0.1835
Agglomerative Parameters - n_clusters: 47, Linkage: single, File: set1.csv, ARI: 0.1650
Agglomerative Parameters - n_clusters: 48, Linkage: ward, File: set1.csv, ARI: 0.1917
Agglomerative Parameters - n_clusters: 48, Linkage: complete, File: set1.csv, ARI: 0.1690
Agglomerative Parameters - n_clusters: 48, Linkage: average, File: set1.csv, ARI: 0.1835
Agglomerative Parameters - n_clusters: 48, Linkage: single, File: set1.csv, ARI: 0.1650
Agglomerative Parameters - n_clusters: 49, Linkage: ward, File: set1.csv, ARI: 0.1829
Agglomerative Parameters - n_clusters: 49, Linkage: complete, File: set1.csv, ARI: 0.1690
Agglomerative Parameters - n_clusters: 49, Linkage: average, File: set1.csv, ARI: 0.1913
Agglomerative Parameters - n_clusters: 49, Linkage: single, File: set1.csv, ARI: 0.1650
Agglomerative Parameters - n_clusters: 50, Linkage: ward, File: set1.csv, ARI: 0.1828
Agglomerative Parameters - n_clusters: 50, Linkage: complete, File: set1.csv, ARI: 0.1750
Agglomerative Parameters - n_clusters: 50, Linkage: average, File: set1.csv, ARI: 0.1912
Agglomerative Parameters - n_clusters: 50, Linkage: single, File: set1.csv, ARI: 0.1650
Agglomerative Parameters - n_clusters: 51, Linkage: ward, File: set1.csv, ARI: 0.1814
Agglomerative Parameters - n_clusters: 51, Linkage: complete, File: set1.csv, ARI: 0.1752
Agglomerative Parameters - n_clusters: 51, Linkage: average, File: set1.csv, ARI: 0.1907
Agglomerative Parameters - n_clusters: 51, Linkage: single, File: set1.csv, ARI: 0.1648
Agglomerative Parameters - n_clusters: 52, Linkage: ward, File: set1.csv, ARI: 0.1810
Agglomerative Parameters - n_clusters: 52, Linkage: complete, File: set1.csv, ARI: 0.1756
Agglomerative Parameters - n_clusters: 52, Linkage: average, File: set1.csv, ARI: 0.1907
Agglomerative Parameters - n_clusters: 52, Linkage: single, File: set1.csv, ARI: 0.1648
Agglomerative Parameters - n_clusters: 53, Linkage: ward, File: set1.csv, ARI: 0.1807
Agglomerative Parameters - n_clusters: 53, Linkage: complete, File: set1.csv, ARI: 0.1756
Agglomerative Parameters - n_clusters: 53, Linkage: average, File: set1.csv, ARI: 0.1902
Agglomerative Parameters - n_clusters: 53, Linkage: single, File: set1.csv, ARI: 0.1648
Agglomerative Parameters - n_clusters: 54, Linkage: ward, File: set1.csv, ARI: 0.1800
Agglomerative Parameters - n_clusters: 54, Linkage: complete, File: set1.csv, ARI: 0.1756
Agglomerative Parameters - n_clusters: 54, Linkage: average, File: set1.csv, ARI: 0.1910
Agglomerative Parameters - n_clusters: 54, Linkage: single, File: set1.csv, ARI: 0.1648
Agglomerative Parameters - n_clusters: 55, Linkage: ward, File: set1.csv, ARI: 0.1750
Agglomerative Parameters - n_clusters: 55, Linkage: complete, File: set1.csv, ARI: 0.1756
Agglomerative Parameters - n_clusters: 55, Linkage: average, File: set1.csv, ARI: 0.1896
Agglomerative Parameters - n_clusters: 55, Linkage: single, File: set1.csv, ARI: 0.1653
Agglomerative Parameters - n_clusters: 56, Linkage: ward, File: set1.csv, ARI: 0.1751
Agglomerative Parameters - n_clusters: 56, Linkage: complete, File: set1.csv, ARI: 0.1752
Agglomerative Parameters - n_clusters: 56, Linkage: average, File: set1.csv, ARI: 0.1904
Agglomerative Parameters - n_clusters: 56, Linkage: single, File: set1.csv, ARI: 0.1653
Agglomerative Parameters - n_clusters: 57, Linkage: ward, File: set1.csv, ARI: 0.1724
Agglomerative Parameters - n_clusters: 57, Linkage: complete, File: set1.csv, ARI: 0.1753
Agglomerative Parameters - n_clusters: 57, Linkage: average, File: set1.csv, ARI: 0.1904
Agglomerative Parameters - n_clusters: 57, Linkage: single, File: set1.csv, ARI: 0.1683
Agglomerative Parameters - n_clusters: 58, Linkage: ward, File: set1.csv, ARI: 0.1727
Agglomerative Parameters - n_clusters: 58, Linkage: complete, File: set1.csv, ARI: 0.1753
Agglomerative Parameters - n_clusters: 58, Linkage: average, File: set1.csv, ARI: 0.1901
Agglomerative Parameters - n_clusters: 58, Linkage: single, File: set1.csv, ARI: 0.1685
Agglomerative Parameters - n_clusters: 59, Linkage: ward, File: set1.csv, ARI: 0.1705
Agglomerative Parameters - n_clusters: 59, Linkage: complete, File: set1.csv, ARI: 0.1756
Agglomerative Parameters - n_clusters: 59, Linkage: average, File: set1.csv, ARI: 0.1898
Agglomerative Parameters - n_clusters: 59, Linkage: single, File: set1.csv, ARI: 0.1685
Agglomerative Parameters - n_clusters: 60, Linkage: ward, File: set1.csv, ARI: 0.1689
Agglomerative Parameters - n_clusters: 60, Linkage: complete, File: set1.csv, ARI: 0.1737
Agglomerative Parameters - n_clusters: 60, Linkage: average, File: set1.csv, ARI: 0.1898
Agglomerative Parameters - n_clusters: 60, Linkage: single, File: set1.csv, ARI: 0.1685
Agglomerative Parameters - n_clusters: 61, Linkage: ward, File: set1.csv, ARI: 0.1639
Agglomerative Parameters - n_clusters: 61, Linkage: complete, File: set1.csv, ARI: 0.1740
Agglomerative Parameters - n_clusters: 61, Linkage: average, File: set1.csv, ARI: 0.1891
Agglomerative Parameters - n_clusters: 61, Linkage: single, File: set1.csv, ARI: 0.1694
Agglomerative Parameters - n_clusters: 62, Linkage: ward, File: set1.csv, ARI: 0.1582
Agglomerative Parameters - n_clusters: 62, Linkage: complete, File: set1.csv, ARI: 0.1738
Agglomerative Parameters - n_clusters: 62, Linkage: average, File: set1.csv, ARI: 0.1887
Agglomerative Parameters - n_clusters: 62, Linkage: single, File: set1.csv, ARI: 0.1695
Agglomerative Parameters - n_clusters: 63, Linkage: ward, File: set1.csv, ARI: 0.1534
Agglomerative Parameters - n_clusters: 63, Linkage: complete, File: set1.csv, ARI: 0.1738
Agglomerative Parameters - n_clusters: 63, Linkage: average, File: set1.csv, ARI: 0.1887
Agglomerative Parameters - n_clusters: 63, Linkage: single, File: set1.csv, ARI: 0.1695
Agglomerative Parameters - n_clusters: 64, Linkage: ward, File: set1.csv, ARI: 0.1504
Agglomerative Parameters - n_clusters: 64, Linkage: complete, File: set1.csv, ARI: 0.1734
Agglomerative Parameters - n_clusters: 64, Linkage: average, File: set1.csv, ARI: 0.1766
Agglomerative Parameters - n_clusters: 64, Linkage: single, File: set1.csv, ARI: 0.1695
Agglomerative Parameters - n_clusters: 65, Linkage: ward, File: set1.csv, ARI: 0.1500
Agglomerative Parameters - n_clusters: 65, Linkage: complete, File: set1.csv, ARI: 0.1697
Agglomerative Parameters - n_clusters: 65, Linkage: average, File: set1.csv, ARI: 0.1766
Agglomerative Parameters - n_clusters: 65, Linkage: single, File: set1.csv, ARI: 0.1694
Agglomerative Parameters - n_clusters: 66, Linkage: ward, File: set1.csv, ARI: 0.1494
Agglomerative Parameters - n_clusters: 66, Linkage: complete, File: set1.csv, ARI: 0.1699
Agglomerative Parameters - n_clusters: 66, Linkage: average, File: set1.csv, ARI: 0.1764
Agglomerative Parameters - n_clusters: 66, Linkage: single, File: set1.csv, ARI: 0.1694
Agglomerative Parameters - n_clusters: 67, Linkage: ward, File: set1.csv, ARI: 0.1490
Agglomerative Parameters - n_clusters: 67, Linkage: complete, File: set1.csv, ARI: 0.1705
Agglomerative Parameters - n_clusters: 67, Linkage: average, File: set1.csv, ARI: 0.1778
Agglomerative Parameters - n_clusters: 67, Linkage: single, File: set1.csv, ARI: 0.1694
Agglomerative Parameters - n_clusters: 68, Linkage: ward, File: set1.csv, ARI: 0.1480
Agglomerative Parameters - n_clusters: 68, Linkage: complete, File: set1.csv, ARI: 0.1705
Agglomerative Parameters - n_clusters: 68, Linkage: average, File: set1.csv, ARI: 0.1759
Agglomerative Parameters - n_clusters: 68, Linkage: single, File: set1.csv, ARI: 0.1692
Agglomerative Parameters - n_clusters: 69, Linkage: ward, File: set1.csv, ARI: 0.1460
Agglomerative Parameters - n_clusters: 69, Linkage: complete, File: set1.csv, ARI: 0.1697
Agglomerative Parameters - n_clusters: 69, Linkage: average, File: set1.csv, ARI: 0.1760
Agglomerative Parameters - n_clusters: 69, Linkage: single, File: set1.csv, ARI: 0.1692
Agglomerative Parameters - n_clusters: 70, Linkage: ward, File: set1.csv, ARI: 0.1457
Agglomerative Parameters - n_clusters: 70, Linkage: complete, File: set1.csv, ARI: 0.1694
Agglomerative Parameters - n_clusters: 70, Linkage: average, File: set1.csv, ARI: 0.1759
Agglomerative Parameters - n_clusters: 70, Linkage: single, File: set1.csv, ARI: 0.1692
Agglomerative Parameters - n_clusters: 71, Linkage: ward, File: set1.csv, ARI: 0.1422
Agglomerative Parameters - n_clusters: 71, Linkage: complete, File: set1.csv, ARI: 0.1680
Agglomerative Parameters - n_clusters: 71, Linkage: average, File: set1.csv, ARI: 0.1759
Agglomerative Parameters - n_clusters: 71, Linkage: single, File: set1.csv, ARI: 0.1692
Agglomerative Parameters - n_clusters: 72, Linkage: ward, File: set1.csv, ARI: 0.1398
Agglomerative Parameters - n_clusters: 72, Linkage: complete, File: set1.csv, ARI: 0.1680
Agglomerative Parameters - n_clusters: 72, Linkage: average, File: set1.csv, ARI: 0.2498
Agglomerative Parameters - n_clusters: 72, Linkage: single, File: set1.csv, ARI: 0.1692
Agglomerative Parameters - n_clusters: 73, Linkage: ward, File: set1.csv, ARI: 0.1388
Agglomerative Parameters - n_clusters: 73, Linkage: complete, File: set1.csv, ARI: 0.1678
Agglomerative Parameters - n_clusters: 73, Linkage: average, File: set1.csv, ARI: 0.2498
Agglomerative Parameters - n_clusters: 73, Linkage: single, File: set1.csv, ARI: 0.1692
Agglomerative Parameters - n_clusters: 74, Linkage: ward, File: set1.csv, ARI: 0.1389
Agglomerative Parameters - n_clusters: 74, Linkage: complete, File: set1.csv, ARI: 0.1678
Agglomerative Parameters - n_clusters: 74, Linkage: average, File: set1.csv, ARI: 0.2498
Agglomerative Parameters - n_clusters: 74, Linkage: single, File: set1.csv, ARI: 0.1692
Agglomerative Parameters - n_clusters: 75, Linkage: ward, File: set1.csv, ARI: 0.1383
Agglomerative Parameters - n_clusters: 75, Linkage: complete, File: set1.csv, ARI: 0.1678
Agglomerative Parameters - n_clusters: 75, Linkage: average, File: set1.csv, ARI: 0.2498
Agglomerative Parameters - n_clusters: 75, Linkage: single, File: set1.csv, ARI: 0.1692
Agglomerative Parameters - n_clusters: 76, Linkage: ward, File: set1.csv, ARI: 0.1381
Agglomerative Parameters - n_clusters: 76, Linkage: complete, File: set1.csv, ARI: 0.1669
Agglomerative Parameters - n_clusters: 76, Linkage: average, File: set1.csv, ARI: 0.2498
Agglomerative Parameters - n_clusters: 76, Linkage: single, File: set1.csv, ARI: 0.1692
Agglomerative Parameters - n_clusters: 77, Linkage: ward, File: set1.csv, ARI: 0.1373
Agglomerative Parameters - n_clusters: 77, Linkage: complete, File: set1.csv, ARI: 0.1631
Agglomerative Parameters - n_clusters: 77, Linkage: average, File: set1.csv, ARI: 0.2487
Agglomerative Parameters - n_clusters: 77, Linkage: single, File: set1.csv, ARI: 0.1692
