Adjusted Rand Index Baseline Score of set1.csv: 0.2422
Adjusted Rand Index Baseline Score of set2.csv: 0.3335
GMM Parameters - n_components: 2, Covariance Type: full, File: set1.csv, ARI: 0.1235
GMM Parameters - n_components: 22, Covariance Type: diag, File: set1.csv, ARI: 0.2622
GMM Parameters - n_components: 22, Covariance Type: spherical, File: set1.csv, ARI: 0.2525
GMM Parameters - n_components: 23, Covariance Type: full, File: set1.csv, ARI: 0.2666
GMM Parameters - n_components: 23, Covariance Type: tied, File: set1.csv, ARI: 0.2145
GMM Parameters - n_components: 23, Covariance Type: diag, File: set1.csv, ARI: 0.3352
GMM Parameters - n_components: 23, Covariance Type: spherical, File: set1.csv, ARI: 0.2550
GMM Parameters - n_components: 24, Covariance Type: full, File: set1.csv, ARI: 0.2554
GMM Parameters - n_components: 24, Covariance Type: tied, File: set1.csv, ARI: 0.2065
GMM Parameters - n_components: 24, Covariance Type: diag, File: set1.csv, ARI: 0.3264
GMM Parameters - n_components: 24, Covariance Type: spherical, File: set1.csv, ARI: 0.2305
GMM Parameters - n_components: 25, Covariance Type: full, File: set1.csv, ARI: 0.2625
GMM Parameters - n_components: 25, Covariance Type: tied, File: set1.csv, ARI: 0.2073
GMM Parameters - n_components: 25, Covariance Type: diag, File: set1.csv, ARI: 0.2624
GMM Parameters - n_components: 25, Covariance Type: spherical, File: set1.csv, ARI: 0.2199
GMM Parameters - n_components: 26, Covariance Type: full, File: set1.csv, ARI: 0.2723
GMM Parameters - n_components: 26, Covariance Type: tied, File: set1.csv, ARI: 0.2048
GMM Parameters - n_components: 26, Covariance Type: diag, File: set1.csv, ARI: 0.2586
GMM Parameters - n_components: 26, Covariance Type: spherical, File: set1.csv, ARI: 0.2191
GMM Parameters - n_components: 27, Covariance Type: full, File: set1.csv, ARI: 0.2864
GMM Parameters - n_components: 27, Covariance Type: tied, File: set1.csv, ARI: 0.2050
GMM Parameters - n_components: 27, Covariance Type: diag, File: set1.csv, ARI: 0.2969
GMM Parameters - n_components: 27, Covariance Type: spherical, File: set1.csv, ARI: 0.2097
GMM Parameters - n_components: 28, Covariance Type: full, File: set1.csv, ARI: 0.2840
GMM Parameters - n_components: 28, Covariance Type: tied, File: set1.csv, ARI: 0.2032
GMM Parameters - n_components: 28, Covariance Type: diag, File: set1.csv, ARI: 0.2956
GMM Parameters - n_components: 28, Covariance Type: spherical, File: set1.csv, ARI: 0.2101
GMM Parameters - n_components: 29, Covariance Type: full, File: set1.csv, ARI: 0.2754
GMM Parameters - n_components: 29, Covariance Type: tied, File: set1.csv, ARI: 0.1984
GMM Parameters - n_components: 29, Covariance Type: diag, File: set1.csv, ARI: 0.2979
GMM Parameters - n_components: 29, Covariance Type: spherical, File: set1.csv, ARI: 0.2146
GMM Parameters - n_components: 30, Covariance Type: full, File: set1.csv, ARI: 0.2686
GMM Parameters - n_components: 30, Covariance Type: tied, File: set1.csv, ARI: 0.1783
GMM Parameters - n_components: 30, Covariance Type: diag, File: set1.csv, ARI: 0.2986
GMM Parameters - n_components: 30, Covariance Type: spherical, File: set1.csv, ARI: 0.2063
GMM Parameters - n_components: 31, Covariance Type: full, File: set1.csv, ARI: 0.2687
GMM Parameters - n_components: 31, Covariance Type: tied, File: set1.csv, ARI: 0.1777
GMM Parameters - n_components: 31, Covariance Type: diag, File: set1.csv, ARI: 0.3242
GMM Parameters - n_components: 31, Covariance Type: spherical, File: set1.csv, ARI: 0.2039
GMM Parameters - n_components: 32, Covariance Type: full, File: set1.csv, ARI: 0.2681
GMM Parameters - n_components: 32, Covariance Type: tied, File: set1.csv, ARI: 0.1843
GMM Parameters - n_components: 32, Covariance Type: diag, File: set1.csv, ARI: 0.2794
GMM Parameters - n_components: 32, Covariance Type: spherical, File: set1.csv, ARI: 0.2023
GMM Parameters - n_components: 33, Covariance Type: full, File: set1.csv, ARI: 0.3173
GMM Parameters - n_components: 33, Covariance Type: tied, File: set1.csv, ARI: 0.1789
GMM Parameters - n_components: 33, Covariance Type: diag, File: set1.csv, ARI: 0.3249
GMM Parameters - n_components: 33, Covariance Type: spherical, File: set1.csv, ARI: 0.1965
GMM Parameters - n_components: 34, Covariance Type: full, File: set1.csv, ARI: 0.3140
GMM Parameters - n_components: 34, Covariance Type: tied, File: set1.csv, ARI: 0.1846
GMM Parameters - n_components: 34, Covariance Type: diag, File: set1.csv, ARI: 0.3117
GMM Parameters - n_components: 34, Covariance Type: spherical, File: set1.csv, ARI: 0.1876
GMM Parameters - n_components: 35, Covariance Type: full, File: set1.csv, ARI: 0.3122
GMM Parameters - n_components: 35, Covariance Type: tied, File: set1.csv, ARI: 0.1776
GMM Parameters - n_components: 35, Covariance Type: diag, File: set1.csv, ARI: 0.3039
GMM Parameters - n_components: 35, Covariance Type: spherical, File: set1.csv, ARI: 0.1806
GMM Parameters - n_components: 36, Covariance Type: full, File: set1.csv, ARI: 0.3117
GMM Parameters - n_components: 36, Covariance Type: tied, File: set1.csv, ARI: 0.1762
GMM Parameters - n_components: 36, Covariance Type: diag, File: set1.csv, ARI: 0.3041
GMM Parameters - n_components: 36, Covariance Type: spherical, File: set1.csv, ARI: 0.1802
GMM Parameters - n_components: 37, Covariance Type: full, File: set1.csv, ARI: 0.3110
GMM Parameters - n_components: 37, Covariance Type: tied, File: set1.csv, ARI: 0.1742
GMM Parameters - n_components: 37, Covariance Type: diag, File: set1.csv, ARI: 0.3059
GMM Parameters - n_components: 37, Covariance Type: spherical, File: set1.csv, ARI: 0.1807
GMM Parameters - n_components: 38, Covariance Type: full, File: set1.csv, ARI: 0.3109
GMM Parameters - n_components: 38, Covariance Type: tied, File: set1.csv, ARI: 0.1685
GMM Parameters - n_components: 38, Covariance Type: diag, File: set1.csv, ARI: 0.3061
GMM Parameters - n_components: 38, Covariance Type: spherical, File: set1.csv, ARI: 0.1829
GMM Parameters - n_components: 39, Covariance Type: full, File: set1.csv, ARI: 0.3108
GMM Parameters - n_components: 39, Covariance Type: tied, File: set1.csv, ARI: 0.1676
GMM Parameters - n_components: 39, Covariance Type: diag, File: set1.csv, ARI: 0.3050
GMM Parameters - n_components: 39, Covariance Type: spherical, File: set1.csv, ARI: 0.1842
GMM Parameters - n_components: 40, Covariance Type: full, File: set1.csv, ARI: 0.3110
GMM Parameters - n_components: 40, Covariance Type: tied, File: set1.csv, ARI: 0.1694
GMM Parameters - n_components: 40, Covariance Type: diag, File: set1.csv, ARI: 0.3078
GMM Parameters - n_components: 40, Covariance Type: spherical, File: set1.csv, ARI: 0.1837
GMM Parameters - n_components: 41, Covariance Type: full, File: set1.csv, ARI: 0.3078
GMM Parameters - n_components: 41, Covariance Type: tied, File: set1.csv, ARI: 0.1628
GMM Parameters - n_components: 41, Covariance Type: diag, File: set1.csv, ARI: 0.3056
GMM Parameters - n_components: 41, Covariance Type: spherical, File: set1.csv, ARI: 0.1780
GMM Parameters - n_components: 42, Covariance Type: full, File: set1.csv, ARI: 0.3062
GMM Parameters - n_components: 42, Covariance Type: tied, File: set1.csv, ARI: 0.1624
GMM Parameters - n_components: 42, Covariance Type: diag, File: set1.csv, ARI: 0.3052
GMM Parameters - n_components: 42, Covariance Type: spherical, File: set1.csv, ARI: 0.1774
GMM Parameters - n_components: 43, Covariance Type: full, File: set1.csv, ARI: 0.3059
GMM Parameters - n_components: 43, Covariance Type: tied, File: set1.csv, ARI: 0.1602
GMM Parameters - n_components: 43, Covariance Type: diag, File: set1.csv, ARI: 0.3047
GMM Parameters - n_components: 43, Covariance Type: spherical, File: set1.csv, ARI: 0.1783
GMM Parameters - n_components: 44, Covariance Type: full, File: set1.csv, ARI: 0.3055
GMM Parameters - n_components: 44, Covariance Type: tied, File: set1.csv, ARI: 0.1649
GMM Parameters - n_components: 44, Covariance Type: diag, File: set1.csv, ARI: 0.3044
GMM Parameters - n_components: 44, Covariance Type: spherical, File: set1.csv, ARI: 0.1771
GMM Parameters - n_components: 45, Covariance Type: full, File: set1.csv, ARI: 0.3047
GMM Parameters - n_components: 45, Covariance Type: tied, File: set1.csv, ARI: 0.1626
GMM Parameters - n_components: 45, Covariance Type: diag, File: set1.csv, ARI: 0.3023
GMM Parameters - n_components: 45, Covariance Type: spherical, File: set1.csv, ARI: 0.1735
GMM Parameters - n_components: 46, Covariance Type: full, File: set1.csv, ARI: 0.3044
GMM Parameters - n_components: 46, Covariance Type: tied, File: set1.csv, ARI: 0.1637
GMM Parameters - n_components: 46, Covariance Type: diag, File: set1.csv, ARI: 0.3020
GMM Parameters - n_components: 46, Covariance Type: spherical, File: set1.csv, ARI: 0.1730
GMM Parameters - n_components: 47, Covariance Type: full, File: set1.csv, ARI: 0.2881
GMM Parameters - n_components: 47, Covariance Type: tied, File: set1.csv, ARI: 0.1655
GMM Parameters - n_components: 47, Covariance Type: diag, File: set1.csv, ARI: 0.3057
GMM Parameters - n_components: 47, Covariance Type: spherical, File: set1.csv, ARI: 0.1677
GMM Parameters - n_components: 48, Covariance Type: full, File: set1.csv, ARI: 0.2874
GMM Parameters - n_components: 48, Covariance Type: tied, File: set1.csv, ARI: 0.1670
GMM Parameters - n_components: 48, Covariance Type: diag, File: set1.csv, ARI: 0.2908
GMM Parameters - n_components: 48, Covariance Type: spherical, File: set1.csv, ARI: 0.1691
GMM Parameters - n_components: 49, Covariance Type: full, File: set1.csv, ARI: 0.2869
GMM Parameters - n_components: 49, Covariance Type: tied, File: set1.csv, ARI: 0.1650
GMM Parameters - n_components: 49, Covariance Type: diag, File: set1.csv, ARI: 0.2904
GMM Parameters - n_components: 49, Covariance Type: spherical, File: set1.csv, ARI: 0.1686
GMM Parameters - n_components: 2, Covariance Type: full, File: set2.csv, ARI: 0.2408
GMM Parameters - n_components: 2, Covariance Type: tied, File: set2.csv, ARI: 0.2748
GMM Parameters - n_components: 2, Covariance Type: diag, File: set2.csv, ARI: 0.2416
GMM Parameters - n_components: 2, Covariance Type: spherical, File: set2.csv, ARI: 0.1209
GMM Parameters - n_components: 3, Covariance Type: full, File: set2.csv, ARI: 0.4055
GMM Parameters - n_components: 3, Covariance Type: tied, File: set2.csv, ARI: 0.3163
GMM Parameters - n_components: 3, Covariance Type: diag, File: set2.csv, ARI: 0.3260
GMM Parameters - n_components: 3, Covariance Type: spherical, File: set2.csv, ARI: 0.3840
GMM Parameters - n_components: 4, Covariance Type: full, File: set2.csv, ARI: 0.5064
GMM Parameters - n_components: 4, Covariance Type: tied, File: set2.csv, ARI: 0.3958
GMM Parameters - n_components: 4, Covariance Type: diag, File: set2.csv, ARI: 0.4166
GMM Parameters - n_components: 4, Covariance Type: spherical, File: set2.csv, ARI: 0.4314
GMM Parameters - n_components: 5, Covariance Type: full, File: set2.csv, ARI: 0.5201
GMM Parameters - n_components: 5, Covariance Type: tied, File: set2.csv, ARI: 0.4136
GMM Parameters - n_components: 5, Covariance Type: diag, File: set2.csv, ARI: 0.4655
GMM Parameters - n_components: 5, Covariance Type: spherical, File: set2.csv, ARI: 0.5099
GMM Parameters - n_components: 6, Covariance Type: full, File: set2.csv, ARI: 0.6217
GMM Parameters - n_components: 6, Covariance Type: tied, File: set2.csv, ARI: 0.5153
GMM Parameters - n_components: 6, Covariance Type: diag, File: set2.csv, ARI: 0.5552
GMM Parameters - n_components: 6, Covariance Type: spherical, File: set2.csv, ARI: 0.5157
GMM Parameters - n_components: 7, Covariance Type: full, File: set2.csv, ARI: 0.6374
GMM Parameters - n_components: 7, Covariance Type: tied, File: set2.csv, ARI: 0.5449
GMM Parameters - n_components: 7, Covariance Type: diag, File: set2.csv, ARI: 0.5551
GMM Parameters - n_components: 7, Covariance Type: spherical, File: set2.csv, ARI: 0.5467
GMM Parameters - n_components: 8, Covariance Type: full, File: set2.csv, ARI: 0.5041
GMM Parameters - n_components: 8, Covariance Type: tied, File: set2.csv, ARI: 0.3839
GMM Parameters - n_components: 8, Covariance Type: diag, File: set2.csv, ARI: 0.4243
GMM Parameters - n_components: 8, Covariance Type: spherical, File: set2.csv, ARI: 0.3483
GMM Parameters - n_components: 9, Covariance Type: full, File: set2.csv, ARI: 0.6000
GMM Parameters - n_components: 9, Covariance Type: tied, File: set2.csv, ARI: 0.3848
GMM Parameters - n_components: 9, Covariance Type: diag, File: set2.csv, ARI: 0.4943
GMM Parameters - n_components: 9, Covariance Type: spherical, File: set2.csv, ARI: 0.3477
GMM Parameters - n_components: 10, Covariance Type: full, File: set2.csv, ARI: 0.4219
GMM Parameters - n_components: 10, Covariance Type: tied, File: set2.csv, ARI: 0.3642
GMM Parameters - n_components: 10, Covariance Type: diag, File: set2.csv, ARI: 0.3962
GMM Parameters - n_components: 10, Covariance Type: spherical, File: set2.csv, ARI: 0.3708
GMM Parameters - n_components: 11, Covariance Type: full, File: set2.csv, ARI: 0.4215
GMM Parameters - n_components: 11, Covariance Type: tied, File: set2.csv, ARI: 0.3596
GMM Parameters - n_components: 11, Covariance Type: diag, File: set2.csv, ARI: 0.4008
GMM Parameters - n_components: 11, Covariance Type: spherical, File: set2.csv, ARI: 0.3670
GMM Parameters - n_components: 12, Covariance Type: full, File: set2.csv, ARI: 0.4202
GMM Parameters - n_components: 12, Covariance Type: tied, File: set2.csv, ARI: 0.3627
GMM Parameters - n_components: 12, Covariance Type: diag, File: set2.csv, ARI: 0.4051
GMM Parameters - n_components: 12, Covariance Type: spherical, File: set2.csv, ARI: 0.3757
GMM Parameters - n_components: 13, Covariance Type: full, File: set2.csv, ARI: 0.4374
GMM Parameters - n_components: 13, Covariance Type: tied, File: set2.csv, ARI: 0.3738
GMM Parameters - n_components: 13, Covariance Type: diag, File: set2.csv, ARI: 0.4238
GMM Parameters - n_components: 13, Covariance Type: spherical, File: set2.csv, ARI: 0.3972
GMM Parameters - n_components: 14, Covariance Type: full, File: set2.csv, ARI: 0.4518
GMM Parameters - n_components: 14, Covariance Type: tied, File: set2.csv, ARI: 0.3974
GMM Parameters - n_components: 14, Covariance Type: diag, File: set2.csv, ARI: 0.4478
GMM Parameters - n_components: 14, Covariance Type: spherical, File: set2.csv, ARI: 0.4066
GMM Parameters - n_components: 15, Covariance Type: full, File: set2.csv, ARI: 0.4409
GMM Parameters - n_components: 15, Covariance Type: tied, File: set2.csv, ARI: 0.3847
GMM Parameters - n_components: 15, Covariance Type: diag, File: set2.csv, ARI: 0.4266
GMM Parameters - n_components: 15, Covariance Type: spherical, File: set2.csv, ARI: 0.3876
GMM Parameters - n_components: 16, Covariance Type: full, File: set2.csv, ARI: 0.4017
GMM Parameters - n_components: 16, Covariance Type: tied, File: set2.csv, ARI: 0.3354
GMM Parameters - n_components: 16, Covariance Type: diag, File: set2.csv, ARI: 0.3759
GMM Parameters - n_components: 16, Covariance Type: spherical, File: set2.csv, ARI: 0.3252
GMM Parameters - n_components: 17, Covariance Type: full, File: set2.csv, ARI: 0.4100
GMM Parameters - n_components: 17, Covariance Type: tied, File: set2.csv, ARI: 0.3514
GMM Parameters - n_components: 17, Covariance Type: diag, File: set2.csv, ARI: 0.3758
GMM Parameters - n_components: 17, Covariance Type: spherical, File: set2.csv, ARI: 0.3281
GMM Parameters - n_components: 18, Covariance Type: full, File: set2.csv, ARI: 0.3747
GMM Parameters - n_components: 18, Covariance Type: tied, File: set2.csv, ARI: 0.3317
GMM Parameters - n_components: 18, Covariance Type: diag, File: set2.csv, ARI: 0.3473
GMM Parameters - n_components: 18, Covariance Type: spherical, File: set2.csv, ARI: 0.3328
GMM Parameters - n_components: 19, Covariance Type: full, File: set2.csv, ARI: 0.3771
GMM Parameters - n_components: 19, Covariance Type: tied, File: set2.csv, ARI: 0.3239
GMM Parameters - n_components: 19, Covariance Type: diag, File: set2.csv, ARI: 0.3588
GMM Parameters - n_components: 19, Covariance Type: spherical, File: set2.csv, ARI: 0.3202
GMM Parameters - n_components: 20, Covariance Type: full, File: set2.csv, ARI: 0.4361
GMM Parameters - n_components: 20, Covariance Type: tied, File: set2.csv, ARI: 0.3316
GMM Parameters - n_components: 20, Covariance Type: diag, File: set2.csv, ARI: 0.3589
GMM Parameters - n_components: 20, Covariance Type: spherical, File: set2.csv, ARI: 0.3190
GMM Parameters - n_components: 21, Covariance Type: full, File: set2.csv, ARI: 0.3684
GMM Parameters - n_components: 21, Covariance Type: tied, File: set2.csv, ARI: 0.3145
GMM Parameters - n_components: 21, Covariance Type: diag, File: set2.csv, ARI: 0.3495
GMM Parameters - n_components: 21, Covariance Type: spherical, File: set2.csv, ARI: 0.3236
GMM Parameters - n_components: 22, Covariance Type: full, File: set2.csv, ARI: 0.3650
GMM Parameters - n_components: 22, Covariance Type: tied, File: set2.csv, ARI: 0.3155
GMM Parameters - n_components: 22, Covariance Type: diag, File: set2.csv, ARI: 0.3462
GMM Parameters - n_components: 22, Covariance Type: spherical, File: set2.csv, ARI: 0.3186
GMM Parameters - n_components: 23, Covariance Type: full, File: set2.csv, ARI: 0.3639
GMM Parameters - n_components: 23, Covariance Type: tied, File: set2.csv, ARI: 0.3121
GMM Parameters - n_components: 23, Covariance Type: diag, File: set2.csv, ARI: 0.3416
GMM Parameters - n_components: 23, Covariance Type: spherical, File: set2.csv, ARI: 0.3191
GMM Parameters - n_components: 24, Covariance Type: full, File: set2.csv, ARI: 0.3478
GMM Parameters - n_components: 24, Covariance Type: tied, File: set2.csv, ARI: 0.3148
GMM Parameters - n_components: 24, Covariance Type: diag, File: set2.csv, ARI: 0.3316
GMM Parameters - n_components: 24, Covariance Type: spherical, File: set2.csv, ARI: 0.3188
GMM Parameters - n_components: 25, Covariance Type: full, File: set2.csv, ARI: 0.2952
GMM Parameters - n_components: 25, Covariance Type: tied, File: set2.csv, ARI: 0.2834
GMM Parameters - n_components: 25, Covariance Type: diag, File: set2.csv, ARI: 0.2896
GMM Parameters - n_components: 25, Covariance Type: spherical, File: set2.csv, ARI: 0.2836
GMM Parameters - n_components: 26, Covariance Type: full, File: set2.csv, ARI: 0.2953
GMM Parameters - n_components: 26, Covariance Type: tied, File: set2.csv, ARI: 0.2849
GMM Parameters - n_components: 26, Covariance Type: diag, File: set2.csv, ARI: 0.2908
GMM Parameters - n_components: 26, Covariance Type: spherical, File: set2.csv, ARI: 0.2818
GMM Parameters - n_components: 27, Covariance Type: full, File: set2.csv, ARI: 0.2941
GMM Parameters - n_components: 27, Covariance Type: tied, File: set2.csv, ARI: 0.2846
GMM Parameters - n_components: 27, Covariance Type: diag, File: set2.csv, ARI: 0.2899
GMM Parameters - n_components: 27, Covariance Type: spherical, File: set2.csv, ARI: 0.2808
GMM Parameters - n_components: 28, Covariance Type: full, File: set2.csv, ARI: 0.3060
GMM Parameters - n_components: 28, Covariance Type: tied, File: set2.csv, ARI: 0.2717
GMM Parameters - n_components: 28, Covariance Type: diag, File: set2.csv, ARI: 0.2991
GMM Parameters - n_components: 28, Covariance Type: spherical, File: set2.csv, ARI: 0.2888
GMM Parameters - n_components: 29, Covariance Type: full, File: set2.csv, ARI: 0.3888
GMM Parameters - n_components: 29, Covariance Type: tied, File: set2.csv, ARI: 0.3090
GMM Parameters - n_components: 29, Covariance Type: diag, File: set2.csv, ARI: 0.3274
GMM Parameters - n_components: 29, Covariance Type: spherical, File: set2.csv, ARI: 0.2983
GMM Parameters - n_components: 30, Covariance Type: full, File: set2.csv, ARI: 0.3883
GMM Parameters - n_components: 30, Covariance Type: tied, File: set2.csv, ARI: 0.2801
GMM Parameters - n_components: 30, Covariance Type: diag, File: set2.csv, ARI: 0.3268
GMM Parameters - n_components: 30, Covariance Type: spherical, File: set2.csv, ARI: 0.2982
GMM Parameters - n_components: 31, Covariance Type: full, File: set2.csv, ARI: 0.3454
GMM Parameters - n_components: 31, Covariance Type: tied, File: set2.csv, ARI: 0.2729
GMM Parameters - n_components: 31, Covariance Type: diag, File: set2.csv, ARI: 0.2818
GMM Parameters - n_components: 31, Covariance Type: spherical, File: set2.csv, ARI: 0.2737
GMM Parameters - n_components: 32, Covariance Type: full, File: set2.csv, ARI: 0.3447
GMM Parameters - n_components: 32, Covariance Type: tied, File: set2.csv, ARI: 0.2785
GMM Parameters - n_components: 32, Covariance Type: diag, File: set2.csv, ARI: 0.2811
GMM Parameters - n_components: 32, Covariance Type: spherical, File: set2.csv, ARI: 0.2729
GMM Parameters - n_components: 33, Covariance Type: full, File: set2.csv, ARI: 0.3227
GMM Parameters - n_components: 33, Covariance Type: tied, File: set2.csv, ARI: 0.2516
GMM Parameters - n_components: 33, Covariance Type: diag, File: set2.csv, ARI: 0.2627
GMM Parameters - n_components: 33, Covariance Type: spherical, File: set2.csv, ARI: 0.2504
GMM Parameters - n_components: 34, Covariance Type: full, File: set2.csv, ARI: 0.2891
