Adjusted Rand Index Baseline Score of set1.csv: 0.2422
Adjusted Rand Index Baseline Score of set2.csv: 0.3335
EPS: 0.10, Min Samples: 2, File: set1.csv, ARI: 0.1535
EPS: 0.30, Min Samples: 4, File: set1.csv, ARI: 0.1827
EPS: 0.30, Min Samples: 4, File: set2.csv, ARI: 0.7232
EPS: 0.30, Min Samples: 5, File: set1.csv, ARI: 0.1836
EPS: 0.30, Min Samples: 5, File: set2.csv, ARI: 0.7230
EPS: 0.30, Min Samples: 6, File: set1.csv, ARI: 0.1827
EPS: 0.30, Min Samples: 6, File: set2.csv, ARI: 0.7229
EPS: 0.30, Min Samples: 7, File: set1.csv, ARI: 0.1824
EPS: 0.30, Min Samples: 7, File: set2.csv, ARI: 0.7221
EPS: 0.30, Min Samples: 8, File: set1.csv, ARI: 0.1823
EPS: 0.30, Min Samples: 8, File: set2.csv, ARI: 0.7221
EPS: 0.30, Min Samples: 9, File: set1.csv, ARI: 0.1830
EPS: 0.30, Min Samples: 9, File: set2.csv, ARI: 0.7212
EPS: 0.40, Min Samples: 2, File: set1.csv, ARI: 0.1701
EPS: 0.40, Min Samples: 2, File: set2.csv, ARI: 0.7233
EPS: 0.40, Min Samples: 3, File: set1.csv, ARI: 0.1701
EPS: 0.40, Min Samples: 3, File: set2.csv, ARI: 0.7233
EPS: 0.40, Min Samples: 4, File: set1.csv, ARI: 0.1686
EPS: 0.40, Min Samples: 4, File: set2.csv, ARI: 0.7233
EPS: 0.40, Min Samples: 5, File: set1.csv, ARI: 0.1686
EPS: 0.40, Min Samples: 5, File: set2.csv, ARI: 0.7233
EPS: 0.40, Min Samples: 6, File: set1.csv, ARI: 0.1803
EPS: 0.40, Min Samples: 6, File: set2.csv, ARI: 0.7232
EPS: 0.40, Min Samples: 7, File: set1.csv, ARI: 0.1842
EPS: 0.40, Min Samples: 7, File: set2.csv, ARI: 0.7231
EPS: 0.40, Min Samples: 8, File: set1.csv, ARI: 0.1842
EPS: 0.40, Min Samples: 8, File: set2.csv, ARI: 0.7226
EPS: 0.40, Min Samples: 9, File: set1.csv, ARI: 0.1835
EPS: 0.40, Min Samples: 9, File: set2.csv, ARI: 0.7225
EPS: 0.50, Min Samples: 2, File: set1.csv, ARI: 0.1685
EPS: 0.50, Min Samples: 2, File: set2.csv, ARI: 0.7252
EPS: 0.50, Min Samples: 3, File: set1.csv, ARI: 0.1685
EPS: 0.50, Min Samples: 3, File: set2.csv, ARI: 0.7252
EPS: 0.50, Min Samples: 4, File: set1.csv, ARI: 0.1686
EPS: 0.50, Min Samples: 4, File: set2.csv, ARI: 0.7252
EPS: 0.50, Min Samples: 5, File: set1.csv, ARI: 0.1686
EPS: 0.50, Min Samples: 5, File: set2.csv, ARI: 0.7252
EPS: 0.50, Min Samples: 6, File: set1.csv, ARI: 0.1825
EPS: 0.50, Min Samples: 6, File: set2.csv, ARI: 0.7249
EPS: 0.50, Min Samples: 7, File: set1.csv, ARI: 0.1825
EPS: 0.50, Min Samples: 7, File: set2.csv, ARI: 0.7251
EPS: 0.50, Min Samples: 8, File: set1.csv, ARI: 0.1825
EPS: 0.50, Min Samples: 8, File: set2.csv, ARI: 0.7249
EPS: 0.50, Min Samples: 9, File: set1.csv, ARI: 0.1810
EPS: 0.50, Min Samples: 9, File: set2.csv, ARI: 0.7243
EPS: 0.60, Min Samples: 2, File: set1.csv, ARI: 0.1655
EPS: 0.60, Min Samples: 2, File: set2.csv, ARI: 0.5603
EPS: 0.60, Min Samples: 3, File: set1.csv, ARI: 0.1655
EPS: 0.60, Min Samples: 3, File: set2.csv, ARI: 0.5603
EPS: 0.60, Min Samples: 4, File: set1.csv, ARI: 0.1655
EPS: 0.60, Min Samples: 4, File: set2.csv, ARI: 0.5600
EPS: 0.60, Min Samples: 5, File: set1.csv, ARI: 0.1655
EPS: 0.60, Min Samples: 5, File: set2.csv, ARI: 0.5599
EPS: 0.60, Min Samples: 6, File: set1.csv, ARI: 0.1655
EPS: 0.60, Min Samples: 6, File: set2.csv, ARI: 0.5599
EPS: 0.60, Min Samples: 7, File: set1.csv, ARI: 0.1681
EPS: 0.60, Min Samples: 7, File: set2.csv, ARI: 0.5583
EPS: 0.60, Min Samples: 8, File: set1.csv, ARI: 0.1825
EPS: 0.60, Min Samples: 8, File: set2.csv, ARI: 0.5582
EPS: 0.60, Min Samples: 9, File: set1.csv, ARI: 0.1825
EPS: 0.60, Min Samples: 9, File: set2.csv, ARI: 0.5583
EPS: 0.70, Min Samples: 2, File: set1.csv, ARI: 0.1350
EPS: 0.70, Min Samples: 2, File: set2.csv, ARI: 0.5618
EPS: 0.70, Min Samples: 3, File: set1.csv, ARI: 0.1350
EPS: 0.70, Min Samples: 3, File: set2.csv, ARI: 0.5618
EPS: 0.70, Min Samples: 4, File: set1.csv, ARI: 0.1351
EPS: 0.70, Min Samples: 4, File: set2.csv, ARI: 0.5618
EPS: 0.70, Min Samples: 5, File: set1.csv, ARI: 0.1351
EPS: 0.70, Min Samples: 5, File: set2.csv, ARI: 0.5618
EPS: 0.70, Min Samples: 6, File: set1.csv, ARI: 0.1352
EPS: 0.70, Min Samples: 6, File: set2.csv, ARI: 0.5618
EPS: 0.70, Min Samples: 7, File: set1.csv, ARI: 0.1349
EPS: 0.70, Min Samples: 7, File: set2.csv, ARI: 0.5618
EPS: 0.70, Min Samples: 8, File: set1.csv, ARI: 0.1349
EPS: 0.70, Min Samples: 8, File: set2.csv, ARI: 0.5613
EPS: 0.70, Min Samples: 9, File: set1.csv, ARI: 0.1670
EPS: 0.70, Min Samples: 9, File: set2.csv, ARI: 0.5613
EPS: 0.80, Min Samples: 2, File: set1.csv, ARI: 0.1219
EPS: 0.80, Min Samples: 2, File: set2.csv, ARI: 0.5630
EPS: 0.80, Min Samples: 3, File: set1.csv, ARI: 0.1219
EPS: 0.80, Min Samples: 3, File: set2.csv, ARI: 0.5630
EPS: 0.80, Min Samples: 4, File: set1.csv, ARI: 0.1219
EPS: 0.80, Min Samples: 4, File: set2.csv, ARI: 0.5631
EPS: 0.80, Min Samples: 5, File: set1.csv, ARI: 0.1219
EPS: 0.80, Min Samples: 5, File: set2.csv, ARI: 0.5628
EPS: 0.80, Min Samples: 6, File: set1.csv, ARI: 0.1219
EPS: 0.80, Min Samples: 6, File: set2.csv, ARI: 0.5628
EPS: 0.80, Min Samples: 7, File: set1.csv, ARI: 0.1219
EPS: 0.80, Min Samples: 7, File: set2.csv, ARI: 0.5628
EPS: 0.80, Min Samples: 8, File: set1.csv, ARI: 0.1217
EPS: 0.80, Min Samples: 8, File: set2.csv, ARI: 0.5628
EPS: 0.80, Min Samples: 9, File: set1.csv, ARI: 0.1217
EPS: 0.80, Min Samples: 9, File: set2.csv, ARI: 0.5628
EPS: 0.90, Min Samples: 2, File: set1.csv, ARI: 0.1449
EPS: 0.90, Min Samples: 2, File: set2.csv, ARI: 0.5646
EPS: 0.90, Min Samples: 3, File: set1.csv, ARI: 0.1449
EPS: 0.90, Min Samples: 3, File: set2.csv, ARI: 0.5646
EPS: 0.90, Min Samples: 4, File: set1.csv, ARI: 0.1449
EPS: 0.90, Min Samples: 4, File: set2.csv, ARI: 0.5646
EPS: 0.90, Min Samples: 5, File: set1.csv, ARI: 0.1449
EPS: 0.90, Min Samples: 5, File: set2.csv, ARI: 0.5646
EPS: 0.90, Min Samples: 6, File: set1.csv, ARI: 0.1449
EPS: 0.90, Min Samples: 6, File: set2.csv, ARI: 0.5646
EPS: 0.90, Min Samples: 7, File: set1.csv, ARI: 0.1449
EPS: 0.90, Min Samples: 7, File: set2.csv, ARI: 0.5646
EPS: 0.90, Min Samples: 8, File: set1.csv, ARI: 0.1449
EPS: 0.90, Min Samples: 8, File: set2.csv, ARI: 0.5645
EPS: 0.90, Min Samples: 9, File: set1.csv, ARI: 0.1449
EPS: 0.90, Min Samples: 9, File: set2.csv, ARI: 0.5644
