Adjusted Rand Index Baseline Score of set1.csv: 0.2422
Adjusted Rand Index Baseline Score of set2.csv: 0.3335
BIRCH Parameters - n_clusters: 2, Threshold: 0.10, File: set1.csv, ARI: 0.0162
BIRCH Parameters - n_clusters: 52, Threshold: 0.10, File: set1.csv, ARI: 0.2004
BIRCH Parameters - n_clusters: 52, Threshold: 0.20, File: set1.csv, ARI: 0.2323
BIRCH Parameters - n_clusters: 52, Threshold: 0.30, File: set1.csv, ARI: 0.1944
BIRCH Parameters - n_clusters: 52, Threshold: 0.40, File: set1.csv, ARI: 0.2092
BIRCH Parameters - n_clusters: 52, Threshold: 0.50, File: set1.csv, ARI: 0.2475
BIRCH Parameters - n_clusters: 53, Threshold: 0.10, File: set1.csv, ARI: 0.2006
BIRCH Parameters - n_clusters: 53, Threshold: 0.20, File: set1.csv, ARI: 0.2323
BIRCH Parameters - n_clusters: 53, Threshold: 0.30, File: set1.csv, ARI: 0.1943
BIRCH Parameters - n_clusters: 53, Threshold: 0.40, File: set1.csv, ARI: 0.2092
BIRCH Parameters - n_clusters: 53, Threshold: 0.50, File: set1.csv, ARI: 0.2381
BIRCH Parameters - n_clusters: 54, Threshold: 0.10, File: set1.csv, ARI: 0.2013
BIRCH Parameters - n_clusters: 54, Threshold: 0.20, File: set1.csv, ARI: 0.2323
BIRCH Parameters - n_clusters: 54, Threshold: 0.30, File: set1.csv, ARI: 0.1943
BIRCH Parameters - n_clusters: 54, Threshold: 0.40, File: set1.csv, ARI: 0.2092
BIRCH Parameters - n_clusters: 54, Threshold: 0.50, File: set1.csv, ARI: 0.2368
BIRCH Parameters - n_clusters: 55, Threshold: 0.10, File: set1.csv, ARI: 0.2013
BIRCH Parameters - n_clusters: 55, Threshold: 0.20, File: set1.csv, ARI: 0.2305
BIRCH Parameters - n_clusters: 55, Threshold: 0.30, File: set1.csv, ARI: 0.1943
BIRCH Parameters - n_clusters: 55, Threshold: 0.40, File: set1.csv, ARI: 0.2092
BIRCH Parameters - n_clusters: 55, Threshold: 0.50, File: set1.csv, ARI: 0.2368
BIRCH Parameters - n_clusters: 56, Threshold: 0.10, File: set1.csv, ARI: 0.2013
BIRCH Parameters - n_clusters: 56, Threshold: 0.20, File: set1.csv, ARI: 0.2305
BIRCH Parameters - n_clusters: 56, Threshold: 0.30, File: set1.csv, ARI: 0.1871
BIRCH Parameters - n_clusters: 56, Threshold: 0.40, File: set1.csv, ARI: 0.2073
BIRCH Parameters - n_clusters: 56, Threshold: 0.50, File: set1.csv, ARI: 0.2368
BIRCH Parameters - n_clusters: 57, Threshold: 0.10, File: set1.csv, ARI: 0.2008
BIRCH Parameters - n_clusters: 57, Threshold: 0.20, File: set1.csv, ARI: 0.2303
BIRCH Parameters - n_clusters: 57, Threshold: 0.30, File: set1.csv, ARI: 0.1835
BIRCH Parameters - n_clusters: 57, Threshold: 0.40, File: set1.csv, ARI: 0.2073
BIRCH Parameters - n_clusters: 57, Threshold: 0.50, File: set1.csv, ARI: 0.2364
BIRCH Parameters - n_clusters: 58, Threshold: 0.10, File: set1.csv, ARI: 0.1941
BIRCH Parameters - n_clusters: 58, Threshold: 0.20, File: set1.csv, ARI: 0.2285
BIRCH Parameters - n_clusters: 58, Threshold: 0.30, File: set1.csv, ARI: 0.1834
BIRCH Parameters - n_clusters: 58, Threshold: 0.40, File: set1.csv, ARI: 0.2073
BIRCH Parameters - n_clusters: 58, Threshold: 0.50, File: set1.csv, ARI: 0.2363
BIRCH Parameters - n_clusters: 59, Threshold: 0.10, File: set1.csv, ARI: 0.1890
BIRCH Parameters - n_clusters: 59, Threshold: 0.20, File: set1.csv, ARI: 0.2285
BIRCH Parameters - n_clusters: 59, Threshold: 0.30, File: set1.csv, ARI: 0.1754
BIRCH Parameters - n_clusters: 59, Threshold: 0.40, File: set1.csv, ARI: 0.2049
BIRCH Parameters - n_clusters: 59, Threshold: 0.50, File: set1.csv, ARI: 0.2364
BIRCH Parameters - n_clusters: 60, Threshold: 0.10, File: set1.csv, ARI: 0.1870
BIRCH Parameters - n_clusters: 60, Threshold: 0.20, File: set1.csv, ARI: 0.2226
BIRCH Parameters - n_clusters: 60, Threshold: 0.30, File: set1.csv, ARI: 0.1754
BIRCH Parameters - n_clusters: 60, Threshold: 0.40, File: set1.csv, ARI: 0.2375
